Alpha,1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625
Chain,0.415625,0.246875,0.14375,0.040625,0.03125,0.0,0.00625
Open Addressing, 2.796875, 0.45625, 0.271875, 0.071875, 0.015625, 0.01875, 0.003125
